"","p.value","cor_estimate"
"ENSG00000105583",5.36629901594687e-20,0.875758356865232
"ENSG00000105640",1.84760654735648e-28,0.938460853506635
"ENSG00000105647",5.26557263176904e-28,0.936126171274375
"ENSG00000105669",1.12960500799195e-15,0.819891811238458
"ENSG00000105676",1.37175632967335e-29,0.943885058419928
"ENSG00000105677",2.32006704135003e-21,0.88925275545374
"ENSG00000105700",5.70136631510861e-35,0.963742062128384
"ENSG00000105726",8.19069725217331e-29,0.940213445699051
"ENSG00000105778",1.78795076668132e-29,0.943355603298962
"ENSG00000105810",4.22598284940972e-23,0.904246472575294
"ENSG00000105825",2.86625744128777e-35,0.964606280091545
"ENSG00000105953",5.7509340330289e-18,0.852312665027281
"ENSG00000105968",1.97849418573559e-32,0.955463953664038
"ENSG00000105974",1.50698638725263e-17,0.846909764945036
"ENSG00000105983",7.27542457653797e-34,0.960350596114752
"ENSG00000105993",3.74780728390722e-27,0.93150152022092
"ENSG00000106089",6.57623969934594e-33,0.95715836801909
"ENSG00000106211",1.37114583781286e-32,0.95603551892298
"ENSG00000106244",9.19344367516674e-16,0.821294099077931
"ENSG00000106290",1.94546353901472e-33,0.95895552872082
"ENSG00000106305",1.52445856261055e-21,0.890935267538647
"ENSG00000106333",1.54137653837175e-34,0.962454070495037
"ENSG00000106366",6.01499604315236e-17,0.838765824237821
"ENSG00000106400",4.13383887565558e-29,0.941646822675737
"ENSG00000106484",1.44553074356922e-33,0.959382011208718
"ENSG00000106524",7.60779256911042e-33,0.956938051338558
"ENSG00000106546",4.91289996229183e-36,0.966728213702212
"ENSG00000106605",5.48337676901211e-31,0.949926482772131
"ENSG00000106609",4.5123720939272e-37,0.96939652053944
"ENSG00000106615",1.30173132987301e-26,0.928389044969981
"ENSG00000106624",3.59830854742949e-32,0.954515289793279
"ENSG00000106628",1.90052061486596e-30,0.947677346167551
"ENSG00000106631",1.06779663084524e-17,0.848866295643218
"ENSG00000106636",2.95635463644695e-32,0.954829218412719
"ENSG00000106682",1.73844854369644e-28,0.938593870612247
"ENSG00000106772",3.12508905303365e-33,0.958265502897388
"ENSG00000106803",1.23347371389914e-21,0.891773544334602
"ENSG00000106868",5.11314833386935e-34,0.96083897056012
"ENSG00000106927",6.71417715833543e-33,0.957127051650234
"ENSG00000106992",4.57731762807986e-24,0.911630125424408
"ENSG00000107036",3.32161548429807e-19,0.867130073587032
"ENSG00000107186",2.64362087949832e-32,0.955006846072402
"ENSG00000107223",1.04770495230911e-29,0.944418310044144
"ENSG00000107338",4.04197191537489e-32,0.954328495479093
"ENSG00000107341",3.30340965681194e-36,0.967187632947959
"ENSG00000107372",1.65751796680892e-30,0.947929885962829
"ENSG00000107438",3.87459623655262e-28,0.93681930433212
"ENSG00000107521",3.15888637798501e-28,0.937276457367666
"ENSG00000107551",5.93332252458419e-30,0.945526406870345
"ENSG00000107562",3.20291324857721e-35,0.964468153309497
"ENSG00000107614",2.89800076040636e-31,0.95104165417952
"ENSG00000107731",2.93596232711366e-31,0.951019152064096
